Info3	hippocampus	kidney	spleen	liver	striatum	cerebellum	cortex	all
null	229.8331075144	181.5100021362	115.0099983215	165.831648937	168.1836879672	194.0099276397	254.3032006619	193.5853904405
LOC501414	522.7319871499	874.2949829102	841.3950195313	549.2533847579	539.5944271768	941.6931942595	515.8941501727	600.5914341458
RGD1306250_predicted	4022.4680110017	4152.7799072266	1156.7399597168	5545.3106534131	2201.7203102322	2608.9734427512	3620.5180469908	3486.6818643447
LOC499991	284.1440696596	3395.4699707031	4758.6999511719	8972.5246445732	241.8746391735	301.3061856326	284.4231168706	281.9508636956
LOC315920	136.0045429431	221.3850021362	164.0050048828	164.5253017978	273.897645971	227.2206588589	180.16203527	178.9491419106
Olr1391_predicted	338.0659834261	277.3099899292	174.4749984741	260.3767708443	232.677105604	255.9013304128	271.597064556	256.4941728513
Gabre	346.9391298065	154.3199996948	257.935005188	199.8456431824	313.4686240697	382.8868851495	242.1490861713	265.8109594806
Bmf	543.0364926166	833.4849853516	696.1599884033	4971.1378099442	463.129085088	405.5485570264	562.4878199005	548.8854183471
Lrp8_predicted	488.6753971062	561.924987793	312.4950027466	229.8887756058	381.2087016629	607.7590344956	718.8528383941	639.4769300399
LOC301115	314.6676505384	246.8949966431	251.4150009155	184.4500135731	190.1933926367	237.8774830573	292.0854818631	260.4227992529
null	387.3414283896	198.6900024414	325.9200134277	155.685607718	229.6929415031	493.4839520311	207.0716914069	222.4331740157
RGD1304782_predicted	3252.5925786069	2831.1950683594	5846.3948974609	3559.740454006	2528.6190880882	3146.8897393756	2881.2773939567	2971.746640056
null	202.8544419762	153.1500053406	229.125	164.8194569239	181.5872455625	275.2387653775	228.3532976764	207.2350858078
null	9450.00828914	7035.0698242188	41034.705078125	7295.6737423216	6449.035938274	7957.906710332	11710.9045574889	9591.0756777013
LOC288689	9667.6227211972	1334.8599853516	899.2250213623	1803.0720867188	8156.9363737865	14356.7871597184	9319.8448029661	9361.3704041827
P4ha1	2842.687343876	515.6899871826	1361.5850219727	1087.9190744148	1530.407723392	1497.2691414381	2617.4318692233	2027.1365768097
Hoxd10_predicted	190.8481628662	9645.3701171875	758.914970398	155.3025097174	243.0605915043	207.2006547584	184.7613555839	182.9360339578
null	3298.912505776	5376.6750488281	2591.6500244141	2642.5930460694	4146.6478466313	4602.3716044797	3362.6058566435	3383.2481556883
LOC500230	139.7081199373	228.6449966431	231.5950012207	153.047038559	211.6964170028	192.6360342148	218.9336481202	189.6973461284
Zfp406_predicted	2629.5961540718	1073.8049926758	1336.7150268555	1478.9961937668	2393.6821106583	2911.5415134628	2511.1265713646	2371.6253359984
Man1a_predicted	993.805918049	316.0400009155	2604.2199707031	6867.2348492142	1896.5647292638	432.4361084789	1017.2627637835	921.0720531376
Dscaml1_predicted	5020.0673474183	249.9099960327	186.5850028992	352.1733210591	1338.5605390785	1226.2298450323	3841.0104605899	2603.902712337
LOC363555	395.2371372456	911	669.8999938965	496.5781874838	650.2641616527	743.1727583497	519.761012233	539.0663069965
RGD1310722_predicted	2017.0688541177	316.4100036621	976.7850036621	1032.4248930859	2105.6223062857	2695.7387039533	2083.7969069219	1760.0456088657
